label,slack,ok-example,ng-example,basic-reason,reason,expected,pattern,prh,spec:from,spec:to,status,only use textlint,record_id,add next to textlint,use textlint,UIテキスト,assign
〜,true,〜,"-,−,―,ー","[""recrVEn3NYr2AV33o""]","[""recwR0nuqmNcXu06t""]",,,,,,,,recJRylxdhcy00ejJ,,,,
！,,！（全角）,!（半角）,,"[""recAha5XdRwtCl2sE""]",$1！,/([\u3400-\u4DBF\u4E00-\u9FFF\uF900-\uFAFF]|[\uD840-\uD87F][\uDC00-\uDFFF]|[ぁ-んァ-ヶ])![^!\?]/,「！」と「？」は単独で使う場合は全角、ペアで使う場合は半角で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,,,"[""定義済""]",,recBOtTW6XgtM6Nb4,,true,,
!!,,!!（半角）,！！（全角）,,"[""recAha5XdRwtCl2sE""]",!!,！！,「！」と「？」は単独で使う場合は全角、ペアで使う場合は半角で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,！！,!!,"[""定義済""]",,recVsWLMwGNiDmKk5,,true,,
!?,,??（半角）,？？（全角）,,"[""recAha5XdRwtCl2sE""]",!?,！？,「！」と「？」は単独で使う場合は全角、ペアで使う場合は半角で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,！？,!?,"[""定義済""]",,rec1cJYSPB8HG0w2L,,true,,
？,,？（全角）,?（半角）,,"[""recAha5XdRwtCl2sE""]",$1？,/([\u3400-\u4DBF\u4E00-\u9FFF\uF900-\uFAFF]|[\uD840-\uD87F][\uDC00-\uDFFF]|[ぁ-んァ-ヶ])\?[^!\?]/,「！」と「？」は単独で使う場合は全角、ペアで使う場合は半角で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,,,"[""定義済""]",,recIF7OMSRaxeqUhG,,true,,
??,,!?（半角）,！？（全角）,,"[""recAha5XdRwtCl2sE""]",??,？？,「！」と「？」は単独で使う場合は全角、ペアで使う場合は半角で表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,？？,??,"[""定義済""]",,recgdPOwQDCuGbA38,,true,,
hh:mm:ss,,"15:35, 15:35:05","15時35分, 15時35分5秒, 3:35:5 PM",,"[""recwR0nuqmNcXu06t""]",$1:$3,/((0?|1)[0-9]|2[0-4])時([0-5][0-9])分([0-5][0-9])秒/,,"00:00:00,01:25:05,6:30:05,15:35:05","00時00分00秒,01時25分05秒,6時30分05秒,15時35分05秒","[""定義予定"",""定義不能""]",,recEBdserXPNNrLbd,,,,むずそうなので保留
yyyy/mm/dd,,2019/01/01,2019年1月1日,,"[""recwR0nuqmNcXu06t""]",$1/$2/$3,/([0-9]{4})年([1-9]|0[1-9]|1[0-2])月([1-9]|0[1-9]|[12][0-9]|3[01])日/,日付はYYYY/MM/DDの形式で記載する,"2019/01/01,2019/01/01,2019/01/31,2019/12/01,2019/12/31","2019年01月01日,2019年1月1日,2019年1月31日,2019年12月01日,2019年12月31日","[""定義予定"",""定義不能""]",,recqt3laRJINjR51p,,,,むずそうなので保留
あいこん,,アイコン,マーク,,"[""rec7Fw59rzaFSP96z""]",アイコン,/(?<!ウォーター|ベル|チェック|サービス|ランド|ロゴ|合意済み|合意済|破棄済み|破棄済|合意|合意前|「合意済み」|「破棄済み」|見本|アット|ブック)マーク(?![ァ-ヶ])(?=.*)/,「マーク」ではなく「アイコン」と表記する https://smarthr.design/products/contents/idiomatic-usage/usage/,マーク,アイコン,"[""定義済""]",,recI1rZ1SXXlXjQZH,,true,,kuvanov
あくせしびりてぃ,,アクセシビリティ,アクセシビリティー,,"[""recKk3i3NODrXp6D3""]",アクセシビリティ,アクセシビリティー,‐er、‐or、‐arで終わる単語は「長音あり」、-yで終わる単語は「長音なし」とする（例外あり） https://smarthr.design/products/contents/idiomatic-usage/usage/,アクセシビリティー,アクセシビリティ,"[""定義済""]",,recNir4NEwDQUOilj,,true,,
